,file_name,annotation_file,image_path,annotation_path,annotation
226,Alex_25-06-10_T00_02_09.png,Alex_25-06-10_T00_02_09.txt,../../chimp_zoo/Chimpanzees/Alex_25-06-10_T00_02_09.png,../../chimp_zoo/Chimpanzees/Alex_25-06-10_T00_02_09.txt,0 0.310313 0.53 0.1675 0.441112
227,Alex_25-06-10_T00_02_26.png,Alex_25-06-10_T00_02_26.txt,../../chimp_zoo/Chimpanzees/Alex_25-06-10_T00_02_26.png,../../chimp_zoo/Chimpanzees/Alex_25-06-10_T00_02_26.txt,0 0.334062 0.491111 0.16625 0.403334
228,Alex_25-06-10_T00_02_27.png,Alex_25-06-10_T00_02_27.txt,../../chimp_zoo/Chimpanzees/Alex_25-06-10_T00_02_27.png,../../chimp_zoo/Chimpanzees/Alex_25-06-10_T00_02_27.txt,0 0.302812 0.496667 0.183749 0.392222
229,Alex_30-06-10_1_T00_00_00_Jahaga.png,Alex_30-06-10_1_T00_00_00_Jahaga.txt,../../chimp_zoo/Chimpanzees/Alex_30-06-10_1_T00_00_00_Jahaga.png,../../chimp_zoo/Chimpanzees/Alex_30-06-10_1_T00_00_00_Jahaga.txt,10 0.599739 0.356019 0.194791 0.379629
230,Alex_30-06-10_1_T00_00_28_Jahaga.png,Alex_30-06-10_1_T00_00_28_Jahaga.txt,../../chimp_zoo/Chimpanzees/Alex_30-06-10_1_T00_00_28_Jahaga.png,../../chimp_zoo/Chimpanzees/Alex_30-06-10_1_T00_00_28_Jahaga.txt,10 0.619792 0.434722 0.186979 0.372222
231,Alex_30-06-10_1_T00_00_42.png,Alex_30-06-10_1_T00_00_42.txt,../../chimp_zoo/Chimpanzees/Alex_30-06-10_1_T00_00_42.png,../../chimp_zoo/Chimpanzees/Alex_30-06-10_1_T00_00_42.txt,0 0.142969 0.499074 0.146875 0.18426
232,Alex_30-06-10_1_T00_00_44.png,Alex_30-06-10_1_T00_00_44.txt,../../chimp_zoo/Chimpanzees/Alex_30-06-10_1_T00_00_44.png,../../chimp_zoo/Chimpanzees/Alex_30-06-10_1_T00_00_44.txt,0 0.121354 0.501852 0.134896 0.169444
233,V345_1_23-11-10.png,V345_1_23-11-10.txt,../../chimp_zoo/Chimpanzees/V345_1_23-11-10.png,../../chimp_zoo/Chimpanzees/V345_1_23-11-10.txt,11 0.024479 0.598148 0.047396 0.082408
234,Alex_30-06-10_1_T00_00_46_Jahaga.png,Alex_30-06-10_1_T00_00_46_Jahaga.txt,../../chimp_zoo/Chimpanzees/Alex_30-06-10_1_T00_00_46_Jahaga.png,../../chimp_zoo/Chimpanzees/Alex_30-06-10_1_T00_00_46_Jahaga.txt,0 0.129167 0.501389 0.147396 0.175926
235,Alex_30-06-10_1_T00_00_51.png,Alex_30-06-10_1_T00_00_51.txt,../../chimp_zoo/Chimpanzees/Alex_30-06-10_1_T00_00_51.png,../../chimp_zoo/Chimpanzees/Alex_30-06-10_1_T00_00_51.txt,0 0.132292 0.501852 0.124479 0.176852
236,Alex_30-06-10_1_T00_01_17.png,Alex_30-06-10_1_T00_01_17.txt,../../chimp_zoo/Chimpanzees/Alex_30-06-10_1_T00_01_17.png,../../chimp_zoo/Chimpanzees/Alex_30-06-10_1_T00_01_17.txt,0 0.12474 0.496296 0.13125 0.175
